moviedialog_id	moviedialog_desc	moviedialog_prof0_trans_id	moviedialog_prof1_trans_id	moviedialog_prof2_trans_id	moviedialog_endscript	moviedialog_stage0_movieid	moviedialog_stage0_subtitle	moviedialog_stage0_npc_tmpid	moviedialog_stage0_action_idx	moviedialog_stage1_movieid	moviedialog_stage1_subtitle	moviedialog_stage1_npc_tmpid	moviedialog_stage1_action_idx	moviedialog_stage2_movieid	moviedialog_stage2_subtitle	moviedialog_stage2_npc_tmpid	moviedialog_stage2_action_idx	moviedialog_stage3_movieid	moviedialog_stage3_subtitle	moviedialog_stage3_npc_tmpid	moviedialog_stage3_action_idx	moviedialog_stage4_movieid	moviedialog_stage4_subtitle	moviedialog_stage4_npc_tmpid	moviedialog_stage4_action_idx	moviedialog_stage5_movieid	moviedialog_stage5_subtitle	moviedialog_stage5_npc_tmpid	moviedialog_stage5_action_idx	moviedialog_stage6_movieid	moviedialog_stage6_subtitle	moviedialog_stage6_npc_tmpid	moviedialog_stage6_action_idx	moviedialog_stage7_movieid	moviedialog_stage7_subtitle	moviedialog_stage7_npc_tmpid	moviedialog_stage7_action_idx	moviedialog_stage8_movieid	moviedialog_stage8_subtitle	moviedialog_stage8_npc_tmpid	moviedialog_stage8_action_idx	moviedialog_stage9_movieid	moviedialog_stage9_subtitle	moviedialog_stage9_npc_tmpid	moviedialog_stage9_action_idx	moviedialog_stage10_movieid	moviedialog_stage10_subtitle	moviedialog_stage10_npc_tmpid	moviedialog_stage10_action_idx	moviedialog_stage11_movieid	moviedialog_stage11_subtitle	moviedialog_stage11_npc_tmpid	moviedialog_stage11_action_idx	moviedialog_stage12_movieid	moviedialog_stage12_subtitle	moviedialog_stage12_npc_tmpid	moviedialog_stage12_action_idx	moviedialog_stage13_movieid	moviedialog_stage13_subtitle	moviedialog_stage13_npc_tmpid	moviedialog_stage13_action_idx	moviedialog_stage14_movieid	moviedialog_stage14_subtitle	moviedialog_stage14_npc_tmpid	moviedialog_stage14_action_idx
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1级 第1个对话 接	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
2	1级 第2个对话 交	0	0	0		0	<C=82>我叫阿尔芭，<PL=N>，很高兴认识你~	46	80	0	阿尔芭…你好，我怎么会在这里，是你救了我么？	0	80	0	<C=75>我看到你晕倒在城外，就把你带了回来…你受伤了，需要休养~	46	-1	0	谢谢你救了我，可我还有要紧事，必须尽快离开这里…	0	80	0	现在的你根本不是黑暗教会的对手，去了也只能送死，怎么救她？！	46	80	0	黑暗教会？她不是被兽人抓走的么？怎么会和黑暗教会有关？等等，你怎么知道我的使命？	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
3	1级 第3个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(46):TalkAroundID(382,0)	0	啊…对了！听说米恩那有治疗药水，能让你的伤很快好起来…	46	80	0	快去他那看看吧！<C=82>	46	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
4	1级 第4个对话 交	0	0	0		0	…抱歉，第987名冒险者，我的药水仅适用于兽人，人类无法使用…	48	75	0	…第987名？有什么特殊含义吗？	0	80	0	是阿尔芭让你来的吧？她很讨厌兽人，不喜欢我提供药水给它们，就想出各种办法干扰我的生意…	48	104	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
5	2级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(48):TalkAroundID(383,0)	0	…原来是这样…被她耍了…	0	80	0	可她为什么这么讨厌兽人？兽人和人类已经和平共处几百年了…	0	-1	0	阿尔芭总说，兽人投靠了黑暗教会…这怎么可能?	48	80	0	不过…兽人最近确实有点莫名暴躁…	48	80	0	投靠？难怪阿尔芭说我不是黑暗教会的对手…还是先出城看看…	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
6	2级 第2个对话 交	0	0	0		0		0	-1	0		0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
7	2级 第3个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(46):TalkAroundID(384,0)	0	你明知道那药水只有兽人能用吧？	0	-1	0	看来你知道啦…那我把这两件装备送给你，当做道歉礼物好了！	46	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
8	2级 第4个对话 交	0	0	0		0	不过保护那个女孩是伊利斯导师给我的使命，你怎么知道的？	0	80	0	哼，格尼薇儿的事情你什么都不清楚，怎么说的上保护？	46	80	0	你知道她的名字？她被带去哪了！快告诉我！	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
9	3级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(46):TalkAroundID(385,0)	0	告诉我！这很重要！	0	80	0	<C=48>好吧…兽人现在已经勾结了黑暗教会，格尼薇儿很可能会被送到黑暗教会…	46	104	0	城外有一个他们的秘密联络点，你可以去看看有没有线索…	46	80	0	可你还没告诉我，是怎么知道我的使命的…	0	80	0	<C=78>还不快去？磨磨蹭蹭的，我可是很忙的！	46	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
